job title,company name,location,skills,links
Senior Python Backend Developer,CROCOSOFT -,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT),/jobs/p/ZS2AZ15Zb6gT-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Backend Developer,InnovaDigits -,"Mansoura, Dakahlia, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Django · Python · AWS · Docker · Software Development · Information Technology (IT) · MySQL,/jobs/p/rpANthPLGT2M-Senior-Mid-Senior-Python-Django-Developer-InnovaDigits-Dakahlia-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb
Senior / Mid Senior Python (Django) Developer,Fekra Technology Solutions and Construction -,"Dokki, Giza, Egypt ",Full TimeWork From HomeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · ETL · Python · SQL · Information Technology (IT),/jobs/p/d3zIKes35LZX-Python-Developer-for-Sports-Statistics-Fekra-Technology-Solutions-and-Construction-Giza-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb
Python Developer for Sports Statistics.,Stackzy -,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Python · Databases · Software Development · Data Processing · airflow · Cloud · Computer Science,/jobs/p/k7LetgYe0WZg-Senior-Python-Developer-Stackzy-Giza-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Developer,Bydotpy -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · RESTful API · Computer Science · Computer Engineering · Software Development · Information Technology (IT),/jobs/p/A1z5DK0essUs-Python-Backend-Developer-Bydotpy-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb
Python Backend Developer,El-Sewedy Electrometer -,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · MySQL · Linux · Information Technology (IT) · SQL · jQuery · Programming,/jobs/p/ohFtakW4EZWa-Senior-Python-Engineer-El-Sewedy-Electrometer-Giza-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Engineer,OdooTec -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · MVC · Information Technology (IT) · Computer Science · Python · Software Development · CSS · Design,/jobs/p/TEXsA8hxgzA7-Python-Developer-OdooTec-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,RDI -,"Dokki, Giza, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · MySQL · GIT · Docker · javaScript · Angular · RESTful APIs,/jobs/p/4yZylKxIEYZb-Senior-Python-Django-Developer-RDI-Giza-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb
Senior Python / Django Developer,Trufla -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · APIs · AWS · Computer Science · Git · Linux · Python · REST,/jobs/p/6Yzv3ZC4RcGO-Senior-Python-Developer-Trufla-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Developer,FlairsTech -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Applications · Computer Science · Design · Engineering · Implementation · Software Development · Information Technology (IT) · Mathematics,/jobs/p/X1RY331ukvMk-Senior-Python-Developer-FlairsTech-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Developer,Houya Arrow -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Development · Software · Software Development · SDLC · Web · Web Applications,/jobs/p/ybz0w5zmqwb1-Senior-Python-Developer-Houya-Arrow-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Developer,Tqniat Lab L.L.C -,"Nasr City, Cairo, Egypt ",Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Information Technology (IT) · Computer Science · Software Development · Django · Linux · NodeJS · MySQL,/jobs/p/1eIU4g1rGmID-Senior-Python-Backend-Developer-Tqniat-Lab-L-L-C-Cairo-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Backend Developer,Confidential -,"Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · PHP · PHP Development · PHP Web Development · Python · python development · CSS3 · HTML5,/jobs/p/iYqxXkiFejBm-Senior-Full-Stack-Instructor-PHP---Python-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb
Senior Full Stack Instructor (PHP - Python),Furdtk -,"Kuwait City, Kuwait ",Full TimeExperienced · 2 - 5 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · API · Odoo · Linux · Python · Computer Science · Design · HTML,/jobs/p/I6Z3me6vTeYw-Odoo-Developer---Kuwait-Furdtk-Kuwait-City-Kuwait?o=14&l=sp&t=sj&a=python|search-v3|hpb
Odoo Developer - Kuwait,Royal Herbs  -,"Haram, Giza, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Database · Engineering · Odoo · Python · Software,/jobs/p/8UiMlGDd2uSf-Odoo-Developer-Royal-Herbs-Giza-Egypt?o=15&l=sp&t=sj&a=python|search-v3|hpb
